#### EXPORT DONNEES METEO POUR "BISCARROSSE" (LAT/LON: 44.3946602/-1.164218)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-03-02,13,10,19,11,12,12,2.3,95,9.75,1024,87.625,13,10,9,176,176,122,0,3,7.1,météo défavorable,19:54:00,08:40:00,11
2022-03-03,11,9,16,9,10,11,2,94,7.875,1020,78.625,11,10,7,122,119,266,0,3,5.6,météo défavorable,19:55:00,08:39:00,11
2022-03-04,11,10,32,10,11,10,0.6,67,9.875,1020,72.875,11,6,6,122,119,176,0,3,8.6,météo défavorable,19:57:00,08:37:00,10
2022-03-05,9,8,17,8,9,9,0.9,84,10,1021,87.5,9,6,5,353,119,176,0,2,7.1,météo défavorable,19:58:00,08:35:00,9
2022-03-06,14,5,18,5,10,13,0.1,75,10,1020,22,14,5,2,116,113,113,0,2,11.3,météo correcte,19:59:00,08:33:00,7
2022-03-07,10,5,9,5,10,9,0,68,10,1019,7.375,10,3,2,113,113,113,0,3,11.6,météo très défavorable,20:00:00,08:31:00,6
2022-03-08,11,7,21,7,11,10,0.2,82,10,1019,57.625,11,8,3,116,122,176,0,3,7.3,météo défavorable,20:02:00,08:30:00,8
2022-03-09,15,7,19,7,15,14,0,90,10,1023,13.375,15,9,5,113,113,113,0,4,11.6,météo correcte,20:03:00,08:28:00,8
2022-03-10,14,11,24,11,14,14,0,78,10,1020,85.375,14,9,9,122,116,119,0,3,7.3,météo défavorable,20:04:00,08:26:00,11
2022-03-11,13,10,23,12,11,10,1.4,89,7,1015,78.625,13,9,8,116,266,266,0,4,5.9,météo défavorable,20:05:00,08:24:00,13
2022-03-12,15,10,14,10,12,13,1.8,77,9.875,1018,62.5,15,8,8,353,176,116,0,3,8.8,météo correcte,20:07:00,08:23:00,10
2022-03-13,11,8,26,9,10,11,4.2,92,8.75,1016,83.75,11,9,6,266,293,176,0,2,7.4,météo défavorable,20:08:00,08:21:00,11
2022-03-14,13,8,23,8,13,13,0.1,82,10,1016,73.5,13,10,4,119,122,122,0,4,6,météo défavorable,20:09:00,08:19:00,8
2022-03-15,21,11,28,12,17,19,0,87,10,1016,24.875,24,13,10,116,113,113,0,5,11.6,météo favorable,20:10:00,08:17:00,11
2022-03-16,16,12,14,12,16,14,0,87,10,1015,51,16,11,10,122,116,116,0,4,10.2,météo correcte,20:12:00,08:15:00,12
2022-03-17,14,12,26,12,14,13,1.1,93,7,1027,94,14,11,9,122,119,266,0,3,6,météo défavorable,20:13:00,08:13:00,12
2022-03-18,15,8,23,8,13,15,0,72,10,1030,71.625,15,9,5,122,116,122,0,3,8.8,météo défavorable,20:14:00,08:12:00,9
2022-03-19,18,9,19,9,16,16,0,90,10,1028,32.125,18,9,7,116,113,116,0,3,11.6,météo favorable,20:15:00,08:10:00,10
2022-03-20,16,10,19,10,16,15,0,85,10,1023,29.375,16,10,7,113,113,116,0,4,11.6,météo correcte,20:17:00,08:08:00,10
2022-03-21,17,10,19,10,16,17,0,93,10,1023,21,17,10,8,116,113,116,0,4,11.6,météo correcte,20:18:00,08:06:00,11
2022-03-22,17,11,20,11,15,17,0,76,10,1022,74,17,9,9,116,122,122,0,4,7.5,météo défavorable,20:19:00,08:04:00,11
